id,댓글
1,"이 회차 진짜 최고에요! 다음 회차가 기대돼요."
2,"작가님 덕분에 하루하루가 즐거워요."
3,"이 캐릭터 너무 멋있어요! 더 많이 등장했으면 좋겠어요."
4,"스토리 전개가 정말 흥미진진해요!"
5,"이번 회차에서 너무 감동받았어요."
6,"작가님의 상상력이 놀라워요."
7,"빨리 다음 회차가 보고 싶어요!"
8,"이 장면 정말 웃겼어요."
9,"캐릭터 간의 관계가 너무 좋아요."
10,"이렇게 끝나다니, 다음 회차가 너무 궁금해요!"
11,"작가님의 글은 언제나 기대 이상이에요."
12,"스토리가 정말 탄탄해요. 최고에요!"
13,"이 캐릭터의 성장이 인상적이에요."
14,"매번 놀랄만한 전개가 기다리고 있어요."
15,"작가님, 항상 감사해요!"
16,"이 웹 소설에 푹 빠졌어요."
17,"이번 회차는 정말 반전이 많았어요."
18,"캐릭터들의 대사가 너무 현실적이에요."
19,"이 이야기는 정말 끝날 줄 모르는 재미에요."
20,"너무 재미있어서 계속 읽고 싶어요!"
