eid,ktrans,meaning
alphacraft,알파크래프트,최초의 창작
alphaedge,알파엣지,최첨단 경계
alphalogic,알파로직,최초의 논리
alphapulse,알파펄스,최초의 맥동
alphatrail,알파트레일,첫 번째 흔적
alphavision,알파비전,최초의 시야
alphawave,알파웨이브,첫 번째 물결
aquawave,아쿠아웨이브,물결
breezeway,브리즈웨이,바람이 부는 길
brightcode,브라이트코드,빛나는 코드
brightcore,브라이트코어,밝은 중심
brighthaven,브라이트헤이븐,밝은 안식처
brightmind,브라이트마인드,밝은 마음
brightpulse,브라이트펄스,밝은 맥동
brightsync,브라이트싱크,밝은 동기화
brighttrail,브라이트트레일,밝은 흔적
brightwave,브라이트웨이브,밝은 물결
bytehero,바이트히어로,데이터의 영웅
cloudcore,클라우드코어,구름의 중심
cloudpulse,클라우드펄스,구름의 맥동
cloudscape,클라우드스케이프,구름 경치
cloudtrail,클라우드트레일,구름의 길
codehorizon,코드호라이즌,코드의 지평선
codenova,코드노바,새로운 코드
codespark,코드스파크,코드의 불꽃
codetrail,코드트레일,코드의 흔적
codevision,코드비전,코드의 시야
codexpert,코드엑스퍼트,코딩 전문가
corevision,코어비전,중심의 시야
cosmicdust,코스믹더스트,우주의 먼지
cosmicray,코스믹레이,우주의 광선
crystalcave,크리스탈케이브,수정 동굴
crystalclear,크리스탈클리어,맑고 투명한
crystalwave,크리스탈웨이브,맑은 물결
cybercraft,사이버크래프트,디지털 창작
cyberforge,사이버포지,디지털 대장간
cyberhaven,사이버헤이븐,디지털 안식처
cyberpulse,사이버펄스,디지털 맥동
datahaven,데이터헤이븐,데이터의 안식처
datapulse,데이터펄스,데이터의 맥동
dataspark,데이터스파크,데이터의 불꽃
datasync,데이터싱크,데이터의 동기화
deepdive,딥다이브,깊은 잠수
desertstorm,데저트스톰,사막의 폭풍
dreamcatcher,드림캐처,꿈을 잡는 사람
dreamforge,드림포지,꿈의 대장간
dreamlogic,드림로직,꿈의 논리
dreammatrix,드림매트릭스,꿈의 구조
dreamquest,드림퀘스트,꿈의 탐험
dreamrealm,드림렐름,꿈의 영역
dreamseeker,드림시커,꿈을 찾는 사람
dreamsync,드림싱크,꿈의 동기화
dreamvoyager,드림보이저,꿈의 항해자
dreamwalker,드림워커,꿈을 걷는 사람
echocraft,에코크래프트,반향의 창작
echomind,에코마인드,반향하는 마음
echopulse,에코펄스,반향의 맥동
echotrail,에코트레일,반향의 길
echovision,에코비전,반향의 시야
electricpulse,일렉트릭펄스,전기 맥박
fireblaze,파이어블레이즈,불타오름
firefly,파이어플라이,반딧불이
firefrost,파이어프로스트,불과 서리
firespark,파이어스파크,불꽃
firestorm,파이어스톰,화염 폭풍
firewing,파이어윙,불의 날개
frostbite,프로스트바이트,서리의 물림
frostshadow,프로스트섀도우,서리의 그림자
frostwave,프로스트웨이브,서리의 물결
frostwing,프로스트윙,서리의 날개
futurecore,퓨처코어,미래의 중심
futureforge,퓨처포지,미래의 대장간
futurelogic,퓨처로직,미래의 논리
futurenexus,퓨처넥서스,미래의 연결
futurepulse,퓨처펄스,미래의 맥동
futuresync,퓨처싱크,미래의 동기화
futuretrail,퓨처트레일,미래의 흔적
gravitycode,그래비티코드,중력의 코드
gravitycore,그래비티코어,중력의 중심
gravityforge,그래비티포지,중력의 대장간
gravitytrail,그래비티트레일,중력의 흔적
harmonysky,하모니스카이,조화로운 하늘
harmonytune,하모니튠,조화로운 멜로디
heartbeat,하트비트,심장 박동
heroforge,히어로포지,영웅의 대장간
heromatrix,히어로매트릭스,영웅의 구조
heropulse,히어로펄스,영웅의 맥동
